Platform;CPU;Cores;Frequency (MHz);Architecture;Dhrystones (VAX);Dhrystones/MHz;Relative to Core i7-2600
Raspberry PI;Broadcom BCM2835;1;700;arm;847,00;1,21;0,04
Pentium M725;Pentium M725;1;1600;i386;1 085,68;0,68;0,05
Pentium III ;Intel(R) Pentium(TM) III CPU;1;1000;i386;1 595,00;1,60;0,07
Orange Pi Win;Allwinner A64 (aarch64);4;1344;aarch64;2 370,00;1,76;0,11
Raspberry PI 3;Broadcom BCM2837B0 (armv8);4;1200;aarch64;2 469,00;2,06;0,11
E8C2;Elbrus 8C2 (E8C2);8;1500;e2k;2 471,97;1,65;0,11
Orange Pi PC2;Allwinner H5 (aarch64);4;1152;aarch64;2 949,12;2,56;0,13
E2S-EL2S4;Elbrus 4C [EL2S4] (4 CPU);16;750;e2k;3 329,51;4,44;0,15
E2S-PC401;Elbrus 4C [E2S] (pc401);4;800;e2k;3 548,80;4,44;0,16
E8C2-1200;Elbrus 8C2 (Broken 8MB Cache 1.2 GHz);8;1200;e2k;3 554,46;2,96;0,16
Baikal T1 BFK;Baikal-T1 (MIPS P5600 V3.0);2;1200;mips;3 650,00;3,04;0,17
Pentium 4 ;Intel(R) Pentium(TM) 4 CPU;1;3066;i386;4 012,00;1,31;0,18
MBE1C-PC;Elbrus 1C+ (MBE1C-PC);1;985;e2k;4 302,53;4,37;0,19
Odroid X2;Samsung Exynos 4412 (armv7l);4;1700;arm;4 495,03;2,64;0,20
Atom Z8350;Intel(R) Atom(TM) x5-Z8350 CPU @ 1.44GHz;4;1440;amd64;4 677,30;3,25;0,21
E8C2-1550;Elbrus 8C2 (E8C2 1550 MHz);8;1550;e2k;5 357,45;3,46;0,24
E8C-E8C4;Elbrus 8C (4 CPU);32;1300;e2k;5 844,82;4,50;0,26
E8C-SWTX;Elbrus 8C (E8C-SWTX);8;1300;e2k;5 865,19;4,51;0,27
Odroid N2;Amlogic S922X;6;1800;aarch64;8 230,00;4,57;0,37
E16C-APPROX*;Elbrus 16;16;2000;e2k;9 023,37;4,51;0,41
Core i3-m330;Intel(R) Core(TM) i3 CPU       M 330  @ 2.13GHz;4;2133;amd64;10 919,40;5,12;0,49
AWS Graviton;Alpine AL73400;16;2300;aarch64;11 377,63;4,95;0,52
AMD A6-3650;AMD A6-3650 APU with Radeon(tm) HD Graphics;4;2600;amd64;11 455,81;4,41;0,52
Core 2 Duo T9400;Intel(R) Core(TM) 2 Duo CPU     T9400  @ 2.53GHz;2;2530;amd64;13 308,91;5,26;0,60
Core i7-2600;Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz;8;3400;amd64;22 076,97;6,49;1,00
Core i7-4700MQ;Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz;8;2400;amd64;22987,48;9,58;1,04
Xeon 6128;Intel(R) Xeon(R) Gold 6128 CPU @ 3.40GHz (2 CPU);24;3400;amd64;25 195,31;7,41;1,14
