Платформа;16 KB x[m]=x[m]+s*y[m] Sngl;512 KB x[m]=x[m]+s*y[m] Sngl;8192 KB x[m]=x[m]+s*y[m] Sngl;16 KB x[m]=x[m]+y[m] Sngl;512 KB x[m]=x[m]+y[m] Sngl;8192 KB x[m]=x[m]+y[m] Sngl;16 KB x[m]=y[m] Sngl;512 KB x[m]=y[m] Sngl;8192 KB x[m]=y[m] Sngl
Orange Pi PC2;1311;1224;1039;2872;1179;1009;4902;2284;1261
Raspberry PI 3;1324;1598;1019;2240;1906;954;3136;2783;871
Orange Pi Win;1598;1752;1019;2771;1787;1028;3483;3146;1374
Odroid N2;8452;8214;3888;9876;8463;3966;8261;7260;3582
AWS Graviton;21353;17418;7336;7344;18328;21796;12118;12120;4422
Huawei Server;64476;40481;27309;62581;39969;27196;27141;18967;9696
Atom Z8350;17395;14596;5208;17415;14356;5219;10075;5598;1365
Celeron N3350;24673;15985;5303;27608;16758;5310;11251;12250;2716
Core 2 Duo T9400;20403;14189;8249;18113;9344;8153;3232;5196;2131
Core i3-m330;22267;12837;4636;22396;13193;4996;10774;8340;2387
AMD A6-3650;40906;37749;8578;40988;36529;8523;13655;9154;2154
AMD Ryzen 7 3700X;28457;28403;28107;30829;28621;28364;15555;15382;15300
Core i7-4700MQ;52992;29816;17618;59299;30982;18371;40254;16127;9605
Xeon 6128;57653;51351;26334;57982;52292;26638;45452;37370;13360
Core i7-2600;75172;53366;32794;75334;54605;32432;26348;16541;8317
Raspberry PI;620;136;132;722;136;132;524;126;115
Odroid X2;2364;1464;1261;2543;1472;1271;3856;1324;627
E16C-APPROX!;0;0;0;0;0;0;0;0;0
E2C3-NEXT;93820;62798;14242;98144;62890;14244;54415;41942;7165
MBE1C-PC;13327;31305;5856;10999;11421;9663;5073;10442;1163
E2S-EL2S4;21463;22714;7975;20662;23032;7809;10535;11483;4263
E2S-PC401;22896;22106;8491;10053;6591;2092;8415;6145;1468
E8C2-1200;34626;34168;28890;30016;34232;28920;16709;18654;17513
E8C-E8C4;37065;27882;23315;35758;27681;23172;18273;16898;13798
E8C-SWTX;37092;29195;24130;37806;29193;24114;19096;17431;14045
E8C2;41032;41708;33881;19815;12399;9617;6124;4376;3318
E8C2-1550;44195;41990;36299;39990;42034;36355;21901;23589;21518
Pentium 4;4801;3983;1258;6100;4876;1243;5172;2907;634
Pentium III;0;0;0;0;0;0;0;0;0
Pentium III 933;1729;120;118;2428;120;118;1709;72;62
Pentium M725;1915;1530;844;2348;1670;850;1866;1145;420
Baikal T1 BFK;0;0;0;0;0;0;0;0;0
E2C+DSP;12736;11698;3668;14271;11915;4465;7267;7437;2855
R1000;1273;897;330;1867;1149;346;1972;855;199
R2000;9763;7319;2862;9725;7433;2941;6312;4793;1616
TM5800;2350;2954;1469;763;776;401;334;336;169
PowerPC 750FX 800;1366;264;149;1207;264;149;1265;140;76
PPC970MP;11485;8843;3788;11512;8899;3791;3781;3934;1032

                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   51934  79969  52625  53460  86477  86008  27883  47323  47320
      16   56124  93820  57752  57332  98144  96661  29846  54415  54414
      32   59795 102046  60709  60431 105249 103713  30879  58806  58812
      64   61816 106547  62301  62168 109175 107449  31427  61288  61293
     128   62883 108688  63129  63057 111483 109510  31700  62609  62613
     256   63422 109900  63557  63517 112609 110384  31852  63285  63289
     512   51113  62798  50627  51016  62890  63122  28450  41942  41862
    1024   42495  49305  42207  42399  49327  49336  23650  30843  30850
    2048   24861  25073  24686  24871  25123  25096  14531  15214  15215
    4096   14614  14626  14603  14616  14624  14628   7911   7967   7961
    8192   14205  14242  14228  14212  14244  14236   7178   7165   7150

                End of test Fri Jan  1 18:32:50 2021

